TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,"MVP: Excel/CSV с объектами -> валидация -> исправление ошибок -> публикация -> карта/API",,,,,,,,,,,,
,,,,,,,,,,,,,,
task,"MVP","Цель MVP: администратор настраивает произвольный реестр объектов, загружает Excel/CSV, система проверяет данные и адреса, оператор исправляет ошибки, валидные объекты появляются в реестре, на карте и в read/search API.",,4,1,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Подготовка MVP-демо","Что выполнить: очистить демо-данные, убрать тестовые и нецензурные поля, оставить фокус только на Сущностях, Справочниках, Импорте и API. Backend: подготовить чистый seed или миграцию демо-базы. Frontend: убрать из основного демо лишние обещания workflow, tasks и аналитики.",,4,2,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Сущности","Фича MVP: настройка модели данных, из которой автоматически появляются реестр, форма, карточка и слой карты.",,4,2,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Сущности / Backend","Задачи backend-части для сущностей.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Модель EntitySchema","Что выполнить: хранить id, code, name, description, status, geometryType, mapSettings, fields, createdAt, updatedAt. Поля должны хранить code, name, type, required, listVisible, cardVisible, searchable, filterable, order, enumId и referenceEntityId.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Модель EntityField и типы полей","Что выполнить: поддержать string, text, integer, decimal, boolean, date, datetime, address, enum, reference, file. Backend должен валидировать допустимость типа и обязательные настройки для enum/reference.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"CRUD схем сущностей","Что выполнить: создать, получить список, получить по id/code, сохранить изменения, удалить. При удалении нужно удалить или корректно отвязать объекты, справочники, слои и связанные настройки.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Жизненный цикл сущности","Что выполнить: статусы draft, active, archived. Backend должен запрещать использование неопубликованной сущности в runtime и API, а архивную скрывать из рабочего меню.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Валидация схемы перед публикацией","Что выполнить: проверить непустое название, уникальный code, уникальные коды полей, наличие обязательных настроек справочников, корректные типы геометрии и хотя бы одно поле или карту для runtime-сущности.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Автогенерация слоя карты","Что выполнить: при публикации сущности с геометрией создать layer с дефолтным стилем, opacity, selectable и visibleByDefault. Если настройки карты меняются, слой должен синхронизироваться.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Дублирование сущности","Что выполнить: backend должен создать копию схемы с новым id/code/name, перенести поля и mapSettings, но не копировать объекты. Статус копии лучше draft.",,3,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Права доступа для админки сущностей","Что выполнить: на MVP достаточно роли admin для создания и настройки сущностей. Backend должен иметь единый guard или сервис проверки прав, даже если пока demo-only.",,3,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Сущности / Frontend","Задачи frontend-части для сущностей.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Страница списка сущностей","Что выполнить: таблица с названием, типом геометрии, количеством полей, датой создания и статусом. Действия: открыть, дублировать, архивировать, восстановить, удалить.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Wizard создания сущности","Что выполнить: шаги Назначение, Поля, Карта, Проверка. Пользователь должен создать сущность из шаблона или с нуля без знания структуры базы.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Типовые шаблоны реестров","Что выполнить: дать несколько универсальных шаблонов для адресных и площадных объектов. Базовые поля: Наименование, Адрес, Тип объекта, Территория или категория, Ответственный, Контакт, Числовой показатель, Статус/состояние. Карта: точки, линии или полигоны в зависимости от шаблона.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Конструктор полей","Что выполнить: добавление, удаление и переименование полей, выбор типа, обязательность, видимость в списке и карточке, выбор справочника для enum. Должен быть понятный порядок полей.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Настройки карты сущности","Что выполнить: выбор допустимых геометрий, кластеризация, цвет, обводка, толщина, размер точки, прозрачность и цветовые правила по полям или статусу.",,3,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Предпросмотр сущности","Что выполнить: показать как будут выглядеть реестр, форма и карточка до публикации. Это снижает риск ошибочной настройки.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Публикация сущности","Что выполнить: кнопка Опубликовать должна сохранить схему, выполнить backend-валидацию, показать toast об успехе и перевести пользователя в созданный runtime-реестр.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Runtime-меню для опубликованной сущности","Что выполнить: после публикации сущность должна появиться в левом меню приложения. Пункт должен вести в универсальный маршрут /app/entities/{entityCode}.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Сущности / QA и критерии готовности","Что выполнить: проверить полный сценарий Создать сущность -> добавить поля -> настроить карту -> предпросмотр -> публикация -> появление реестра в меню. Нельзя выпускать, если опубликованная сущность не открывается в runtime.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Справочники","Фича MVP: управляемые списки значений для полей типа Справочник, например территория, категория, тип объекта, состояние, балансодержатель или источник данных.",,4,2,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Справочники / Backend","Задачи backend-части для справочников.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Модель Dictionary","Что выполнить: хранить id, entityId, code, name и массив items. Справочник всегда должен быть привязан к сущности.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Модель DictionaryItem","Что выполнить: хранить id, code, name, active. Неактивные значения не должны предлагаться в новых формах, но старые объекты должны продолжать отображать label.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
